Index,Date,Legacy Fixtures (V1 Archive),Competition,Home,Away,FT_Score,Signal,Bookmaker,Odds,Conviction,Allocation,Settlement,Net_PnL,Commit_Hash,赛后结算,Line Mvmt,Metrics,Turnover,Cum PnL,实时 Yield%,ROI%,按钮,Markdown 生成
63,2026年7月19日,瓜达拉哈拉vs托卢卡,MEX1 墨西联,GUA 瓜达拉哈拉,TOL 托卢卡,,亚盘,Pinnacle,1.05,1% 稳健仓,1,Loss,-1.05,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/5819d859ce8ba3f3f82ef3d6cd97db43cb0bf695,🔴 红色 (L),大脑直觉模型,无,61,1.85,1.39%,0.85,No,"2026-07-19,MEX1,GUA,TOL,Pending,亚盘,1.05,1,Loss,-1.05,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/5819d859ce8ba3f3f82ef3d6cd97db43cb0bf695"
64,2026年7月19日,FC安养vs光州FC,KOR1 韩职联,ANY 安养FC,GWA 光州FC,,欧赔,Pinnacle,1.71,1% 稳健仓,1,Loss,-1,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/5474da601516489814c4c1146f05dbe8870c4878,🔴 红色 (L),大脑直觉模型,拉锯均势死锁,62,0.85,-0.24%,-0.15,No,"2026-07-19,KOR1,ANY,GWA,Pending,欧赔,1.71,1,Loss,-1,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/5474da601516489814c4c1146f05dbe8870c4878"
65,2026年7月19日,富川FCvsFC首尔,KOR1 韩职联,BUC 富川FC,SEO 首尔FC,,欧赔,Pinnacle,3.85,1% 稳健仓,1,Loss,-1,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/5474da601516489814c4c1146f05dbe8870c4878,🔴 红色 (L),阻下诱上,无,63,-0.15,-1.83%,-1.15,No,"2026-07-19,KOR1,BUC,SEO,Pending,欧赔,3.85,1,Loss,-1,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/5474da601516489814c4c1146f05dbe8870c4878"
66,2026年7月19日,水原三星vs坡州市民,KOR2 韩K2联,SSB 水原三星,PAJ 坡州市民,,欧赔,Pinnacle,4.99,1% 稳健仓,1,Win,4.99,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/5474da601516489814c4c1146f05dbe8870c4878,🟢 绿色 (W),阻下诱上,无,64,4.84,6%,3.84,No,"2026-07-19,KOR2,SBW,PAJ,Pending,欧赔,4.99,1,Win,4.99,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/5474da601516489814c4c1146f05dbe8870c4878"
67,2026年7月19日,龙仁FCvs华城FC,KOR2 韩K2联,YON 龙仁市民,HWA 华城FC,,欧赔,Pinnacle,2.47,1% 稳健仓,1,Win,2.47,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/5474da601516489814c4c1146f05dbe8870c4878,🟢 绿色 (W),无,无,65,7.31,9.71%,6.31,No,"2026-07-19,KOR2,YON,HWA,Pending,欧赔,2.47,1,Win,2.47,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/5474da601516489814c4c1146f05dbe8870c4878"
68,2026年7月19日,庆南FCvs安山小绿人,KOR2 韩K2联,GYE 庆南FC,ANS 安山绿人,,大小球,Pinnacle,0.86,1% 稳健仓,1,Win,0.86,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/5474da601516489814c4c1146f05dbe8870c4878,🟢 绿色 (W),无,主场龙/客场虫,66,8.17,10.86%,7.17,No,"2026-07-19,KOR2,GYE,ANS,Pending,大小球,0.86,1,Win,0.86,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/5474da601516489814c4c1146f05dbe8870c4878"
69,2026年7月19日,忠北清州vs天安城,KOR2 韩K2联,CHJ 忠北清州,CHE 天安城,,大小球,Pinnacle,0.94,1% 稳健仓,1,Win,0.94,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/5474da601516489814c4c1146f05dbe8870c4878,🟢 绿色 (W),无,主场龙/客场虫,67,9.11,12.10%,8.11,No,"2026-07-19,KOR2,CHJ,CHE,Pending,大小球,0.94,1,Win,0.94,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/5474da601516489814c4c1146f05dbe8870c4878"
70,2026年7月19日,哈马比vs代格福什,SWE1 瑞典超,HAM 哈马比,DEG 代格福什,,欧赔,Pinnacle,12.9,1% 稳健仓,1,Loss,-1,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/74514a7869b6a370f72300f1722c162fadf5c9cf,🔴 红色 (L),直觉-纯粹高赔博弈,主场龙/客场虫,68,8.11,10.46%,7.11,No,"2026-07-19,SWE1,HAM,DEG,Pending,欧赔,12.9,1,Loss,-1,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/74514a7869b6a370f72300f1722c162fadf5c9cf"
71,2026年7月19日,哈尔姆斯塔德vs赫根,SWE1 瑞典超,HAL 哈尔姆斯塔德,BKH 赫根,,大小球,Pinnacle,0.92,1% 稳健仓,1,Win,0.92,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/74514a7869b6a370f72300f1722c162fadf5c9cf,🟢 绿色 (W),阻上诱下,无,69,9.03,11.64%,8.03,No,"2026-07-19,SWE1,HAL,HAC,Pending,大小球,0.92,1,Win,0.92,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/74514a7869b6a370f72300f1722c162fadf5c9cf"
72,2026年7月19日,埃尔夫斯堡vs天狼,SWE1 瑞典超,ELF 埃尔夫斯堡,SIR 天狼星,,大小球,Pinnacle,1.01,1% 稳健仓,1,Loss,-1,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/74514a7869b6a370f72300f1722c162fadf5c9cf,🔴 红色 (L),大脑直觉模型,主场龙/客场虫,70,8.03,10.04%,7.03,No,"2026-07-19,SWE1,ELF,SIR,Pending,大小球,1.01,1,Loss,-1,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/74514a7869b6a370f72300f1722c162fadf5c9cf"
73,2026年7月20日,雅罗vs图尔库国际,FIN1 芬超,JAR 雅罗,ITK 国际图尔库,,大小球,Pinnacle,0.88,1% 稳健仓,1,Loss,-1,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/87676e556cdae5e1f8cd00c4c30ec77a631b5e07,🔴 红色 (L),无,主场虫/客场龙,71,7.03,8.49%,6.03,No,"2026-07-20,FIN1,JAR,INT,Pending,大小球,0.88,1,Loss,-1,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/87676e556cdae5e1f8cd00c4c30ec77a631b5e07"
74,2026年7月20日,KR雷克雅未克vs加尔扎拜尔星,ISL1 冰岛超,KRR KR雷克雅未克,STJ 斯塔尔南,,大小球,Pinnacle,0.86,1% 稳健仓,1,Half Win,0.43,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/87676e556cdae5e1f8cd00c4c30ec77a631b5e07,🔵 蓝色 (HW),机构强势深盘,拉锯均势死锁,72,7.46,8.97%,6.46,No,"2026-07-20,ISL1,KRR,STJ,Pending,大小球,0.86,1,Half Win,0.43,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/87676e556cdae5e1f8cd00c4c30ec77a631b5e07"
75,2026年7月20日,佩特罗鲁vs布加勒斯特迪纳摩,ROM1 罗甲,PLO 佩特罗鲁,DIN 布加勒斯特迪纳摩,,欧赔,Pinnacle,3.72,1% 稳健仓,1,Win,3.72,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/87676e556cdae5e1f8cd00c4c30ec77a631b5e07,🟢 绿色 (W),阻下诱上,主场虫/客场龙,73,11.18,13.95%,10.18,No,"2026-07-20,ROM1,PET,DIN,Pending,欧赔,3.72,1,Win,3.72,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/87676e556cdae5e1f8cd00c4c30ec77a631b5e07"
76,2026年7月20日,西班牙vs阿根廷,WC 世界杯,ESP 西班牙,ARG 阿根廷,,欧赔,Pinnacle,3.04,1% 稳健仓,1,,3.04,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/87676e556cdae5e1f8cd00c4c30ec77a631b5e07,🟢 绿色 (W),大脑直觉模型,主场龙/客场虫,74,14.22,17.86%,13.22,No,"2026-07-20,WC,ESP,ARG,Pending,欧赔,3.04,1,Pending,3.04,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/87676e556cdae5e1f8cd00c4c30ec77a631b5e07"
,,,,,,,,,,,,,,,,,,,,,-1,No,
